CVE GEO,POPULATION,Population from zero to 14 years,Population aged 18 to 24 that attends school,Population of 18 years and over with post-basic education,Economically active population,Population entitled to health services,IMSS entitled population,ISSSTE entitled population,Population entitled by Seguro Popular,Married or united population of 12 years and over,Population in census households,Total homes,Total inhabited private homes,Inhabited private homes that have internet,Inhabited private homes that have a cell phone,Inhabited private homes that have a computer,Inhabited private homes that have a car or truck,Inhabited private homes that have a washing machine,Inhabited private homes that have a refrigerator,Inhabited private homes that have a television,"Inhabited private homes that have electricity, piped water from the public network and drainage",Inhabited private homes that have electric light,Private dwellings inhabited with a floor made of different material than earth,Occupants in inhabited private homes
22001400,801940,214940,37819,266463,362595,585133,418444,41077,100176,329122,789566,257156,205832,73971,168648,96448,121925,158646,185628,197614,190138,201096,195913,789566
22001400,3440,689,153,1202,1518,2699,2353,133,168,1408,3377,1000,893,314,706,418,525,755,856,862,863,868,845,3377
2201400010106,3440,698,165,1369,1606,2678,2088,460,142,1445,3422,952,868,321,703,447,558,769,844,853,862,862,769,3422
2201400010125,7,3,0,*,3,6,6,0,0,*,7,2,*,0,*,0,0,0,*,*,0,*,*,7
2201400010182,3974,1049,155,1008,1739,2859,2371,184,265,1514,3876,1040,884,237,692,348,438,652,796,843,853,855,826,3876
2201400010229,1995,276,186,1391,986,1513,1032,132,26,866,1961,647,580,474,536,499,538,552,567,571,567,571,565,1961
2201400010248,5504,1134,284,2173,2604,4012,3186,286,354,2143,5366,1670,1445,536,1157,728,813,1111,1329,1370,1394,1402,1393,5366
2201400010252,6276,1419,234,1905,2886,4084,3194,307,550,2332,6146,1826,1535,399,1130,554,650,1084,1328,1457,1485,1491,1480,6146
2201400010267,6026,1408,222,1502,2721,4102,2985,266,825,2138,5911,1750,1487,276,1093,418,498,955,1214,1383,1435,1443,1423,5911
2201400010271,5030,1120,266,1834,2379,3625,2518,326,546,1901,4982,1411,1240,467,969,607,643,958,1116,1200,1220,1223,1206,4982
2201400010286,1313,233,99,898,597,957,560,57,6,606,1286,448,392,318,346,330,360,371,380,379,382,383,381,1286
2201400010303,4747,654,416,2771,2275,3386,2487,655,182,1729,4691,1804,1421,728,1168,887,887,1147,1344,1361,1383,1402,1378,4691
2201400010318,2209,348,161,1204,1122,1567,1184,223,103,714,2013,864,676,336,560,407,384,498,622,633,637,646,638,2013
2201400010322,1595,272,117,902,798,1174,831,174,99,609,1588,610,497,312,444,362,344,390,479,477,490,494,484,1588
2201400010337,1601,237,139,1057,804,1107,760,82,50,645,1564,541,455,345,417,375,402,421,445,445,450,452,411,1564
2201400010341,4238,704,352,2413,2054,3264,2557,306,214,1733,4106,1401,1220,735,1087,806,971,1133,1206,1215,1213,1219,1205,4106
2201400010360,3402,479,335,1966,1613,2459,1860,374,119,1103,3282,1351,1108,563,906,699,647,872,1039,1062,1072,1076,1064,3282
2201400010375,2049,271,171,1263,1057,1328,915,163,114,614,1901,963,658,363,540,437,362,487,611,613,637,637,630,1901
220140001038A,1754,251,127,1036,852,1044,724,142,72,467,1507,741,556,293,459,346,294,398,512,510,533,534,527,1507
2201400010394,3907,620,288,2204,1900,2771,1992,322,216,1426,3856,1352,1173,624,987,737,753,955,1102,1143,1154,1162,1148,3856
2201400010411,2180,285,140,1158,1074,1360,971,204,77,694,1978,951,679,316,505,388,356,500,607,619,624,625,619,1978
2201400010430,3427,690,176,1239,1577,2269,1642,220,259,1206,3353,1064,887,292,655,382,394,622,771,835,874,876,852,3353
2201400010445,3305,673,139,1023,1621,2200,1698,177,319,1273,3287,1055,853,242,590,303,327,555,699,808,839,839,829,3287
2201400010464,1618,176,153,1168,773,1211,805,89,11,715,1538,551,496,401,444,410,446,458,468,468,470,472,445,1538
2201400010479,1566,167,119,1128,782,1132,784,135,31,686,1554,573,496,405,439,418,434,448,463,464,486,490,459,1554
2201400010483,1467,304,73,540,731,1030,757,90,110,550,1447,453,392,143,327,176,224,298,356,373,377,382,360,1447
2201400010498,1625,208,104,1061,829,1079,797,108,16,608,1552,622,516,328,446,372,423,442,492,495,495,495,493,1552
2201400010515,2126,320,124,1242,1082,1468,1143,198,61,841,2089,731,627,381,512,434,467,535,604,602,610,615,609,2089
2201400010549,548,112,53,346,232,391,265,27,8,236,515,217,152,126,136,131,137,136,138,138,139,141,132,515
2201400010553,2030,264,146,1348,988,1469,1129,161,40,837,1955,675,598,415,513,459,507,531,553,551,551,555,549,1955
2201400010568,1306,218,88,751,578,871,659,100,51,524,1273,450,385,255,336,277,308,340,367,369,373,373,372,1273
2201400010572,3833,920,122,878,1797,2499,1856,185,462,1509,3801,1008,904,205,658,293,412,650,793,863,886,889,876,3801
2201400010587,3118,761,127,978,1470,2101,1493,163,423,1202,3115,938,812,237,645,338,418,597,732,791,800,807,804,3115
2201400010619,1863,245,148,1303,917,1343,961,136,38,783,1830,707,590,420,524,461,495,535,568,568,567,574,571,1830
2201400010623,921,146,81,624,428,730,393,28,13,386,921,325,281,227,259,241,258,266,273,275,279,281,278,921
2201400010638,3924,1054,115,720,1724,2512,1692,172,609,1500,3902,956,850,145,588,220,367,605,737,819,838,842,826,3902
2201400010642,4439,1204,124,862,1948,2822,1848,174,773,1734,4430,1142,1004,175,714,277,443,665,849,968,993,998,975,4430
2201400010657,3404,961,79,599,1472,2255,1495,134,622,1316,3386,780,701,128,479,183,285,498,596,680,686,692,672,3386
2201400010712,3455,1042,128,584,1537,2034,1720,33,261,1393,3430,1007,816,120,643,210,397,583,725,782,790,809,780,3430
2201400010731,3132,932,108,564,1402,2212,1671,42,461,1326,3132,725,632,112,498,180,327,451,571,615,615,624,596,3132
2201400010750,1266,476,36,140,541,654,556,9,90,490,1260,350,283,16,203,35,97,157,173,266,110,192,233,1260
2201400010816,3597,673,324,2226,1775,2684,1819,506,71,1371,3447,1635,1171,820,1043,921,948,982,1111,1111,1118,1120,1113,3447
2201400010835,3157,891,115,647,1499,2465,1829,88,512,1272,3120,793,756,141,596,230,325,540,677,730,674,746,725,3120
220140001084A,5323,1161,286,2182,2613,4196,3241,350,320,2133,5266,1575,1334,644,1152,785,810,1090,1245,1292,1292,1311,1269,5266
2201400010869,63,8,6,43,35,36,30,3,0,23,54,20,17,13,16,13,14,16,16,17,17,17,16,54
2201400010873,1039,307,24,187,487,720,502,29,181,437,1024,269,237,39,182,65,121,162,205,224,227,231,219,1024
2201400010888,3682,1010,118,767,1701,2512,1798,118,588,1483,3658,941,886,160,622,240,400,632,768,855,873,876,863,3658
2201400010892,3850,907,148,1146,1841,2461,1771,261,431,1530,3829,1055,920,276,723,375,477,698,816,897,908,911,908,3829
220140001091A,2486,322,308,1758,1133,1796,1190,222,29,1082,2453,806,699,579,636,604,648,673,678,679,687,688,672,2453
2201400010924,4864,1317,176,931,2259,3149,2139,146,836,2002,4837,1101,1019,175,758,276,503,730,908,987,1007,1010,999,4837
2201400010958,1335,217,176,836,644,1034,434,570,27,509,1281,411,374,264,330,292,290,330,352,352,347,355,350,1281
2201400010962,704,120,60,453,353,580,227,17,12,315,701,205,193,170,184,171,186,186,188,188,192,192,191,701
2201400010981,4162,1115,155,847,1934,2682,1647,91,861,1704,4124,1173,1062,187,745,281,513,695,883,1012,1035,1049,999,4124
2201400010996,4761,1325,133,869,2205,3056,2239,117,694,1907,4743,1166,1035,176,785,259,464,749,904,998,1020,1022,1013,4743
2201400011053,3496,745,220,1248,1791,2724,2326,130,244,1428,3445,925,845,293,698,420,503,701,812,823,818,823,821,3445
2201400011068,2624,584,178,899,1316,2099,1888,80,130,1117,2594,681,629,216,554,314,401,536,608,617,614,619,614,2594
2201400011087,3283,715,265,1516,1640,2345,1660,357,323,1304,3256,958,836,369,715,487,567,694,812,822,826,832,827,3256
2201400011091,4500,960,361,2022,2181,3302,2363,535,385,1765,4470,1284,1121,518,920,671,771,941,1066,1090,1105,1107,1096,4470
2201400011119,3994,1010,211,1387,1722,3034,2140,235,323,1532,3748,1288,1039,431,826,538,591,774,907,937,943,954,935,3748
2201400011138,2411,584,97,663,812,1623,1267,140,168,941,2411,567,478,149,393,224,253,375,445,463,472,475,453,2411
