,,,
Postcode,Neighbourhood,Zoning,Borough
76000,Centro,Colonia,Queretaro
76005,Rincón de San Andrés,Fraccionamiento,Queretaro
76005,Mariano Escobedo,Unidad habitacional,Queretaro
76005,Vicente Guerrero,Unidad habitacional,Queretaro
76005,Rinconada Morelos,Unidad habitacional,Queretaro
76010,Las Campanas,Colonia,Queretaro
76010,Niños Héroes,Colonia,Queretaro
76017,Centro Universitario (U.A.Q.),Equipamiento,Queretaro
76020,Bosques del Acueducto,Colonia,Queretaro
76020,Calesa,Colonia,Queretaro
76020,Diligencias,Colonia,Queretaro
76020,El Cortijo,Colonia,Queretaro
76020,Jardines de Queretaro,Colonia,Queretaro
76020,La Cruz,Barrio,Queretaro
76020,Pathé,Colonia,Queretaro
76020,San Javier,Colonia,Queretaro
76024,Karina,Colonia,Queretaro
76024,La Peñita,Fraccionamiento,Queretaro
76024,Calesa 2a Sección,Fraccionamiento,Queretaro
76024,El Cortijo,Fraccionamiento,Queretaro
76024,El Oasis,Fraccionamiento,Queretaro
76024,Villa Los Arcos,Fraccionamiento,Queretaro
76024,El Cortijo II,Fraccionamiento,Queretaro
76024,Conjunto Seminario,Fraccionamiento,Queretaro
76024,Del Río,Fraccionamiento,Queretaro
76025,La Pastora,Colonia,Queretaro
76026,La Cruz,Fraccionamiento,Queretaro
76026,Goyeneche,Fraccionamiento,Queretaro
76027,San José Inn,Colonia,Queretaro
76027,Arboledas del Río,Fraccionamiento,Queretaro
76028,Universidad,Colonia,Queretaro
76030,Casa Blanca,Colonia,Queretaro
76030,Cimatario,Colonia,Queretaro
76030,El Carrizal,Colonia,Queretaro
76030,Estrella,Colonia,Queretaro
76030,Las Fuentes,Colonia,Queretaro
76030,Las Misiones,Colonia,Queretaro
76030,Moderna,Unidad habitacional,Queretaro
76030,San Ángel,Colonia,Queretaro
76030,El Prado,Colonia,Queretaro
76036,Rinconada Fray Juan,Fraccionamiento,Queretaro
76037,Mariano de las Casas,Colonia,Queretaro
76040,Alameda,Colonia,Queretaro
76040,Aragón,Colonia,Queretaro
76040,Las Palmas,Colonia,Queretaro
76040,Mercurio,Colonia,Queretaro
76040,Observatorio,Colonia,Queretaro
76040,Panamericano,Colonia,Queretaro
76040,Valle Alameda,Colonia,Queretaro
76040,Villas del Sur,Colonia,Queretaro
76040,Andalucía,Unidad habitacional,Queretaro
76046,El Laurel,Fraccionamiento,Queretaro
76046,Villas del Sol,Colonia,Queretaro
