AGEB KEY,POPULATION,Population from zero to 14 years,Population aged 18 to 24 that attends school,Population of 18 years and over with post-basic education,Economically active population,Population entitled to health services,IMSS entitled population,ISSSTE entitled population,Population entitled by Seguro Popular,Married or united population of 12 years and over,Population in census households,Total homes,Inhabited private homes that have internet,Inhabited private homes that have a cell phone,Inhabited private homes that have a computer,Inhabited private homes that have a car or truck,Inhabited private homes that have a washing machine,Inhabited private homes that have a refrigerator,Inhabited private homes that have a television,"Inhabited private homes that have electricity, piped water from the public network and drainage",Inhabited private homes that have electric light,Private dwellings inhabited with a floor made of different material than earth,Occupants in inhabited private homes
22001400,801940,214940,37819,266463,362595,585133,418444,41077,100176,329122,789566,257156,73971,168648,96448,121925,158646,185628,197614,190138,201096,195913,789566
22001400,626495,157347,33730,238410,291032,459375,347462,37950,53284,254589,617209,200547,67184,138361,86037,101336,131555,152105,158496,157926,160888,157288,617209
2200140093000,3440,689,153,1202,1518,2699,2353,133,168,1408,3377,1000,314,706,418,525,755,856,862,863,868,845,3377
2200140093001,152,34,7,52,77,128,111,5,11,54,152,34,16,28,20,19,24,33,32,33,33,33,152
2200140093002,115,23,4,45,52,90,77,*,12,45,115,30,7,26,11,18,28,29,30,30,30,30,115
2200140093003,137,24,9,46,49,108,97,4,6,61,131,36,8,27,15,17,28,30,29,30,30,30,131
2200140093004,128,34,5,34,58,102,86,3,8,46,128,33,8,24,10,14,22,28,28,28,28,28,128
2200140093005,91,20,5,31,49,71,66,3,*,34,91,27,9,16,12,15,18,24,24,24,24,24,91
2200140093006,88,13,*,31,39,61,50,3,7,29,82,30,8,22,14,10,22,27,27,27,27,24,82
2200140093007,59,17,*,33,32,38,36,*,0,25,59,29,10,14,11,13,15,15,15,15,16,16,59
2200140093011,118,21,7,45,45,91,77,7,5,40,109,33,13,26,16,20,27,29,30,29,29,30,109
2200140093012,114,19,7,37,57,97,90,0,5,44,114,34,10,20,13,12,25,29,30,30,30,29,114
2200140093016,104,21,0,23,44,88,65,5,17,35,104,31,4,19,5,14,23,27,27,27,27,25,104
2200140093017,104,25,*,29,40,91,65,0,26,48,104,29,4,19,8,13,25,28,28,27,28,22,104
2200140093022,140,24,5,39,55,105,88,11,6,47,134,37,9,25,12,12,24,31,32,32,32,31,134
2200140093023,106,18,3,42,49,94,85,7,*,36,103,35,11,23,17,21,30,30,30,30,30,30,103
2200140093029,21,3,*,4,10,17,3,*,12,13,21,6,*,5,*,4,5,6,6,6,6,6,21
2200140093030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200140093033,130,28,6,35,52,99,96,3,0,56,130,31,10,23,14,18,26,28,29,29,29,28,130
2200140093034,111,19,9,38,47,82,78,0,*,47,111,35,11,22,13,18,28,30,30,30,30,30,111
2200140093035,141,34,8,46,62,108,97,*,7,54,141,33,17,25,20,17,23,29,30,29,30,30,141
2200140093036,139,27,7,57,55,104,99,5,0,69,139,35,9,30,16,25,30,33,34,34,34,34,139
2200140093037,103,12,6,49,53,84,66,11,*,48,97,34,10,23,14,17,27,27,27,27,27,27,97
2200140093038,113,25,5,48,53,85,78,5,*,48,113,34,9,28,13,18,25,30,30,29,30,30,113
2200140093039,103,18,*,23,47,85,80,*,4,43,100,30,8,18,7,12,24,26,27,27,27,27,100
2200140093040,142,25,9,44,60,107,96,*,10,62,142,41,10,32,16,22,28,37,37,37,37,36,142
2200140093041,99,20,6,36,39,84,62,9,4,40,93,33,10,26,12,14,23,26,26,26,26,26,93
2200140093042,153,32,6,34,77,119,109,*,6,64,150,35,8,30,13,20,28,34,32,34,34,34,150
2200140093043,55,15,0,24,22,35,26,*,7,17,55,17,4,10,6,6,13,16,16,16,16,14,55
2200140093044,130,14,6,54,75,109,96,5,4,54,124,39,15,26,17,23,29,33,33,33,33,33,124
2200140093045,58,8,*,23,24,48,45,*,*,32,58,18,8,11,10,12,14,17,17,17,17,17,58
2200140093046,48,5,0,21,23,38,26,13,0,26,48,17,6,11,7,10,16,16,16,15,16,15,48
2200140093047,59,15,*,23,29,53,49,4,0,23,59,15,4,12,5,11,13,14,14,14,14,13,59
2200140093048,84,17,5,34,39,67,53,12,*,37,84,27,13,19,17,21,21,22,22,22,22,19,84
2200140093049,52,16,5,21,20,38,31,*,0,22,52,22,10,15,13,13,14,15,15,15,15,13,52
2200140093050,44,12,*,20,16,39,38,0,*,20,44,14,8,11,7,8,11,11,11,11,11,11,44
2200140093052,65,14,4,31,29,39,38,*,0,34,62,23,11,17,12,15,17,17,17,19,19,19,62
2200140093053,8,*,*,*,*,*,*,*,*,*,*,3,*,*,*,*,*,*,*,*,*,*,*
2200140093054,56,18,*,18,12,42,41,*,0,25,56,14,3,6,5,6,10,10,12,12,12,12,56
2200140093055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200140093056,8,*,0,*,3,7,7,0,0,*,8,3,*,3,*,*,3,3,3,3,3,3,8
2200140093058,10,*,*,*,*,*,*,*,*,*,*,2,*,*,*,*,*,*,*,*,*,*,*
2200140093059,52,14,*,25,18,35,35,0,0,22,46,20,8,11,11,11,12,12,12,12,12,12,46
2200140093060,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2200140106000,3440,698,165,1369,1606,2678,2088,460,142,1445,3422,952,321,703,447,558,769,844,853,862,862,769,3422
2200140106001,163,35,9,59,78,126,121,*,0,74,163,39,13,29,17,19,31,35,35,37,37,21,163
