Venue,Venue Latitude,Venue Longitude,Venue Category,Health System,geom,Address,Postcode,Borough,CVE GEO,Neighbourhood
Laboratorio Corregidora,20.595621028703500,-100.392676878503,Medical Center,Private,"20.595621028703498,-100.392676878503","75, Avenida Corregidora, Centro, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76000, México",76000,Queretaro,220140001038A,Centro
salud digna,20.5867425537626,-100.39547810202300,Medical Center,Private,"20.5867425537626,-100.39547810202299","Multimundo, 15, Avenida Ignacio Zaragoza, Centro, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76000, México",76000,Queretaro,2201400010411,Centro
Sanatorio Margarita,20.592357387953100,-100.39521346802600,Hospital,Private,"20.592357387953104,-100.39521346802601","9, Calle Vicente Guerrero, Centro, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76000, México",76000,Queretaro,2201400010375,Centro
Sanatorio Santiago de Querétaro,20.5921186289838,-100.399937383702,Hospital,Private,"20.5921186289838,-100.399937383702","101, Calle Miguel Hidalgo, Centro, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76000, México",76000,Queretaro,2201400010360,Centro
Fisioterapia,20.591962,-100.400661,Medical Center,Private,"20.591962,-100.400661","51, Calle Nicolás Campa, Centro, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76000, México",76000,Queretaro,2201400010360,Centro
Hospital Santa Rosa de Viterbo,20.5885059985943,-100.397214299662,Hospital,Private,"20.5885059985943,-100.397214299662","34, Calle Ezequiel Montes, Centro, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76000, México",76000,Queretaro,2201400010411,Centro
Sanatorio Mariano,20.590467339588200,-100.39383043043000,Medical Center,Private,"20.590467339588198,-100.39383043042999","15, Calle Vicente Guerrero, Centro, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76000, México",76000,Queretaro,2201400010375,Centro
Policlínica Médica De Querétaro,20.5912154420652,-100.392235134375,Medical Center,Private,"20.5912154420652,-100.392235134375","32, Calle Benito Juárez Sur, Centro, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76000, México",76000,Queretaro,2201400010375,Centro
Ópticas Devlyn,20.596444,-100.393887,Doctor's Office,Private,"20.596444,-100.393887","119, Calle Benito Juárez Norte, Centro, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76000, México",76000,Queretaro,2201400010375,Centro
Hospital Luis Martin,20.5876890349959,-100.394677100216,Hospital,Private,"20.5876890349959,-100.394677100216","Luis Matín, 88, Avenida Ignacio Zaragoza, Centro, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76000, México",76000,Queretaro,2201400010411,Centro
Sanatorio Alcocer Pozo,20.590617850264400,-100.38987955348,Hospital,Private,"20.590617850264398,-100.38987955348","28, Calle Reforma, Centro, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76000, México",76000,Queretaro,2201400012314,Centro
Medicina Transfusional de Querétaro (Banco de Sangre),20.5875387160789,-100.400329916348,Hospital,Public,"20.5875387160789,-100.400329916348","32, Calle Ignacio Pérez, Centro, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76000, México",76000,Queretaro,2201400010411,Centro
Clinica Medica Familiar ISSSTE Queretaro,20.5925212301515,-100.405643527679,Hospital,Public,"20.5925212301515,-100.405643527679","Ciclovía Tecnológico, Centro, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76000, México",76000,Queretaro,2201400011138,Centro
FisioINTEGRATE (Fisioterapia Y Rehabilitacion),20.5918560028076,-100.40054321289100,Doctor's Office,Private,"20.5918560028076,-100.40054321289101","51, Calle Nicolás Campa, Centro, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76000, México",76000,Queretaro,2201400010360,Centro
ISSSTE Hospital General,20.5926966286871,-100.40619850158700,Hospital,Public,"20.5926966286871,-100.40619850158701","ISSSTE, Calle Justo Sierra, Centro, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76000, México",76000,Queretaro,2201400011138,Centro
