CP,Neighbourhood,Zoning,Borough
76118,10 de Abril,Residential,Queretaro
76118,15 de Mayo,Residential,Queretaro
76069,2 de Abril,Residential,Queretaro
76118,5 de Febrero,Residential,Queretaro
76069,8 de Diciembre,Residential,Queretaro
76226,Acequia Blanca,Residential,Queretaro
76026,Acueducto,Residential,Queretaro
76040,Alameda,Residential,Queretaro
76160,Álamos 1a Sección,Residential,Queretaro
76160,Álamos 2a Secc,Residential,Queretaro
76160,Álamos 3a Secc,Residential,Queretaro
76118,Altos Del Marques,Residential,Queretaro
76140,Altos Del Marques,Residential,Queretaro
76148,Amalia Solorzano,Residential,Queretaro
76134,Ampolletas,Residential,Queretaro
76040,Andalucía,Residential,Queretaro
76040,Aragón,Residential,Queretaro
76140,Arboledas,Residential,Queretaro
76140,Arboledas Del Parque,Residential,Queretaro
76027,Arboledas Del Rio,Residential,Queretaro
76048,Arquitos,Residential,Queretaro
76085,Arte Mexicano,Residential,Queretaro
76137,Aurora,Residential,Queretaro
76085,Azteca 1,Residential,Queretaro
76079,Balaustradas,Residential,Queretaro
76159,Balcón Campestre,Residential,Queretaro
76144,Balcones,Residential,Queretaro
76140,Balcones Residentialles,Residential,Queretaro
76230,Balcones de Juriquilla,Residential,Queretaro
76024,Balcones Del Acueducto,Residential,Queretaro
76148,Belén,Residential,Queretaro
76069,Belinda,Residential,Queretaro
76125,Bellavista,Residential,Queretaro
76089,Benito Juárez,Residential,Queretaro
76120,Benito Juárez,Industrial Zone,Queretaro
76144,Bolaños,Residential,Queretaro
76237,Bolaños,Common land,Queretaro
76087,Bosques de Queretaro,Residential,Queretaro
76020,Bosques Del Acueducto,Residential,Queretaro
76087,Bosques Del Cimatorio,Residential,Queretaro
76113,Bosques Del Sol,Residential,Queretaro
76225,Buenavista,Congregacion,Queretaro
76147,Buenos Aires,Residential,Queretaro
76116,Bugambilias,Residential,Queretaro
76070,Burócrata,Residential,Queretaro
76020,Calesa,Residential,Queretaro
76024,Calesa 2a Sección,Residential,Queretaro
76177,Carolina,Residential,Queretaro
