Postcode,Borough,Neighbourhood,Latitude,Longitude
76000,Queretaro,Centro,20.5954708,-100.3970593
76005,Queretaro,"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602
76010,Queretaro,"Las Campanas, Niños Héroes",20.589144895283300,-100.41002296473700
76017,Queretaro,Centro Universitario (U.A.Q.),20.612119400000000,-100.38508190537500
76020,Queretaro,"San Javier, Pathé, La Cruz, Jardines de Queretaro, Diligencias, Calesa, Bosques del Acueducto, El Cortijo",20.595157966107900,-100.38016381528500
76024,Queretaro,"Conjunto Seminario, Karina, La Peñita, Calesa 2a Sección, El Cortijo, El Oasis, Villa Los Arcos, El Cortijo II, Del Río",20.60100997735220,-100.36921541802100
76025,Queretaro,La Pastora,20.592993539396400,-100.37968649198200
76026,Queretaro,"La Cruz, Goyeneche",20.59720275548600,-100.38681260693200
76027,Queretaro,"San José Inn, Arboledas del Río",20.598872859088900,-100.38627138557900
76028,Queretaro,Universidad,20.598809625449400,-100.38729097959800
76030,Queretaro,"El Prado, Moderna, Las Misiones, Las Fuentes, San Ángel, El Carrizal, Cimatario, Casa Blanca, Estrella",20.580199715813400,-100.39499474461700
76036,Queretaro,Rinconada Fray Juan,20.5812310826573,-100.395779558018
76037,Queretaro,Mariano de las Casas,20.579183291477000,-100.40147663475300
76040,Queretaro,"Andalucía, Alameda, Aragón, Las Palmas, Mercurio, Observatorio, Panamericano, Valle Alameda, Villas del Sur",20.5836065641449,-100.38121384579100
76046,Queretaro,"San Joaquín, Panorámico, El Laurel, Villas del Sol",20.58137553066190,-100.37780120025900
76047,Queretaro,"El Marqués, Quintas del Marqués",20.583838233825500,-100.37005896957700
76048,Queretaro,Arquitos,20.571274236445400,-100.38037183890600
76049,Queretaro,Loma Bonita,20.587390000964300,-100.36729699647800
76050,Queretaro,Carretas,20.591591060423100,-100.37171590613400
76057,Queretaro,Hidalgo,20.58762497516970,-100.38541194888200
76058,Queretaro,San Francisquito,20.588841366989000,-100.38497232951500
76059,Queretaro,Plaza de las Américas,20.5884336061677,-100.374462483523
76060,Queretaro,"Cumbres del Mirador, Loma Dorada, Milenio 3a. Sección",20.5877167173389,-100.3561605698730
76063,Queretaro,"Vista Hermosa, La Virgen, Villas del Oriente, Cuesta Bonita, Pedregal de Vista Hermosa",20.5871882354745,-100.355464996124
76067,Queretaro,La Laguna,20.5985080856951,-100.357027228467
76069,Queretaro,"San José de los Perales, La Cuesta, La Estación, Nuevo Morelos, La Estación 2a. Sección, Bugambilias, Hércules, Tejas, El Limonar, El Bosque, 2 de Abril, Jardines de Hércules, 8 de Diciembre",20.602116433333300,-100.36045506666700
76070,Queretaro,"Conjunto Terranova, El Retiro, Loma Linda, Prados del Mirador, Corregidora (Burocrata), Vista",20.58191375013940,-100.40981643269400
76074,Queretaro,"La Alhambra, Vista Alegre, Vista Alegre 2a Secc, Vista Alegre 3a Sección, Palomar del Duque",20.564053966666700,-100.37687576666700
76078,Queretaro,Villas Valle Alameda,20.5778803579246,-100.384005227224
76079,Queretaro,"Balaustradas, Quinta Balaustradas",20.576460196050500,-100.38223438507200
76080,Queretaro,"Lomas de Casa Blanca, Presidentes",20.56155833349710,-100.39842014856100
76085,Queretaro,"Lomas del Valle, La Unión, Vistas del Cimatario, Bosques del Cimatario, Rincón del Cimatario, Altos del Cimatario, Fraternidad de Santiago, Lázaro Cárdenas III, Universo 2000, Azteca, Arte Mexicano, Colinas del Sur, Lomas del Cimatario, El Marqués Queretano",20.5524302139733,-100.385993351855
76086,Queretaro,"Reforma Agraria 1a Sección, Reforma Agraria 2a Secc, Reforma Agraria 3a Secc, Reforma Agraria 4a Secc, Reforma Agraria 5a Secc",20.548624844864200,-100.40338002905900
