Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Centro,20.5954708,-100.3970593,Laboratorio Corregidora,20.5956210287035,-100.3926768785027,Medical Center
Centro,20.5954708,-100.3970593,Farmacias del Ahorro,20.59579301007659,-100.39274522876013,Pharmacy
Centro,20.5954708,-100.3970593,Farmacias del Ahorro,20.592040886080614,-100.39182925487606,Pharmacy
Centro,20.5954708,-100.3970593,salud digna,20.58674255376263,-100.39547810202346,Medical Center
Centro,20.5954708,-100.3970593,Farmacia Dérmica,20.597282279819595,-100.39413291943842,Pharmacy
Centro,20.5954708,-100.3970593,Farmacia Guadalajara,20.597597685391094,-100.39431095123291,Pharmacy
Centro,20.5954708,-100.3970593,Sanatorio Margarita,20.59235738795313,-100.39521346802559,Hospital
Centro,20.5954708,-100.3970593,Secretaría De Salud,20.594393575524382,-100.39026151674763,Medical Center
Centro,20.5954708,-100.3970593,Sanatorio Santiago de Querétaro,20.592118628983823,-100.39993738370174,Hospital
Centro,20.5954708,-100.3970593,Fisioterapia,20.591962,-100.400661,Medical Center
Centro,20.5954708,-100.3970593,Farmacias Guadalajara,20.592149,-100.393237,Pharmacy
Centro,20.5954708,-100.3970593,Hospital Santa Rosa de Viterbo,20.588505998594307,-100.3972142996623,Hospital
Centro,20.5954708,-100.3970593,Hospital del Sagrado Corazon,20.599133709271563,-100.39337292309114,Hospital
Centro,20.5954708,-100.3970593,Farmacia del Ahorro,20.595616213966306,-100.40247065280423,Pharmacy
Centro,20.5954708,-100.3970593,Sanatorio Mariano,20.590467339588166,-100.39383043043023,Medical Center
Centro,20.5954708,-100.3970593,Policlínica Médica De Querétaro,20.5912154420652,-100.39223513437494,Medical Center
Centro,20.5954708,-100.3970593,Farmacias Similares,20.588842391967773,-100.39704132080078,Pharmacy
Centro,20.5954708,-100.3970593,Centro de Salud Dr. Pedro Escobedo,20.588855910512187,-100.39889761182215,Medical Center
Centro,20.5954708,-100.3970593,Ópticas Devlyn,20.596444,-100.393887,Doctor's Office
Centro,20.5954708,-100.3970593,Farmacia Homeopática Querétaro,20.591147440190177,-100.40344387292862,Pharmacy
Centro,20.5954708,-100.3970593,Lotus: Farmacia Homeopática,20.588880122982893,-100.39256751537323,Pharmacy
Centro,20.5954708,-100.3970593,Hospital Luis Martin,20.58768903499588,-100.39467710021589,Hospital
Centro,20.5954708,-100.3970593,Sanatorio Alcocer Pozo,20.59061785026444,-100.38987955347994,Hospital
Centro,20.5954708,-100.3970593,Medicina Transfusional de Querétaro (Banco de Sangre),20.587538716078875,-100.40032991634808,Hospital
Centro,20.5954708,-100.3970593,Clinica Medica Familiar ISSSTE Queretaro,20.592521230151466,-100.40564352767903,Hospital
Centro,20.5954708,-100.3970593,FisioINTEGRATE (Fisioterapia Y Rehabilitacion),20.591856002807617,-100.40054321289062,Doctor's Office
Centro,20.5954708,-100.3970593,ISSSTE Hospital General,20.592696628687055,-100.40619850158691,Hospital
Centro,20.5954708,-100.3970593,SESEQ Adquisiciones,20.596593313663362,-100.39018416326381,Doctor's Office
Centro,20.5954708,-100.3970593,Medicina transfusional de Querétaro,20.58756555126027,-100.40038601889187,Doctor's Office
Centro,20.5954708,-100.3970593,Clinica Naturista Dra. Eliud,20.5882361,-100.4020996,Doctor's Office
Centro,20.5954708,-100.3970593,ServiOptica Queretaro,20.597939,-100.394665,Optical Shop
Centro,20.5954708,-100.3970593,Medica 4,20.595296810021196,-100.39244626737499,Dentist's Office
Centro,20.5954708,-100.3970593,Clínica Dental Terán,20.591094910569538,-100.39787924205521,Dentist's Office
Centro,20.5954708,-100.3970593,Odontologia Restauradora ( Dra. Eva Campos),20.588786,-100.397169,Dentist's Office
Centro,20.5954708,-100.3970593,Dentista,20.592176886488573,-100.38910612463951,Dentist's Office
Centro,20.5954708,-100.3970593,Sorriso Clínica Dental,20.588118674394664,-100.40085704110338,Dentist's Office
Centro,20.5954708,-100.3970593,DENTAL CENTER odotonlogia integral,20.587440035113364,-100.39366121191877,Dentist's Office
Centro,20.5954708,-100.3970593,Dental Center RAV,20.587466411831993,-100.39359192922771,Dentist's Office
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,Laboratorio Corregidora,20.5956210287035,-100.3926768785027,Medical Center
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,salud digna,20.58674255376263,-100.39547810202346,Medical Center
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,Sanatorio Santiago de Querétaro,20.592118628983823,-100.39993738370174,Hospital
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,Farmacias del Ahorro,20.59579301007659,-100.39274522876013,Pharmacy
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,Farmacia del Ahorro,20.595616213966306,-100.40247065280423,Pharmacy
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,Fisioterapia,20.591962,-100.400661,Medical Center
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,Farmacias del Ahorro,20.592040886080614,-100.39182925487606,Pharmacy
"Rincón de San Andrés, Mariano Escobedo, Vicente Guerrero, Rinconada Morelos",20.5950059198615,-100.398769877602,Sanatorio Margarita,20.59235738795313,-100.39521346802559,Hospital
